E,T,lOCode,lOComment,locCodeAndComment,defects
34286,1904.78,30,6,2,TRUE
31422.74,1745.71,38,6,0,TRUE
17452.01,969.56,34,5,0,TRUE
69.74,3.87,6,0,0,TRUE
5863.3,325.74,13,4,3,TRUE
1385.31,76.96,14,0,0,TRUE
1918.25,106.57,15,0,0,TRUE
3004.05,166.89,22,0,0,TRUE
1141.33,63.41,12,0,0,TRUE
7410.9,411.72,20,9,5,TRUE
6656.52,369.81,23,0,0,TRUE
1672.9,92.94,8,4,0,TRUE
11756.11,653.12,40,4,7,TRUE
4798.75,266.6,15,14,4,TRUE
26165.5,1453.64,48,73,16,TRUE
14482.39,804.58,43,1,0,TRUE
39236.98,2179.83,58,17,0,TRUE
109272.46,6070.69,166,49,1,TRUE
28568.25,1587.13,58,0,2,TRUE
2734.06,151.89,13,3,1,TRUE
909.35,50.52,13,7,2,TRUE
308.4,17.13,3,0,0,TRUE
69.74,3.87,6,0,0,TRUE
86270.84,4792.82,54,18,10,TRUE
37229.33,2068.3,49,0,12,TRUE
99.66,5.54,3,0,0,TRUE
236376.96,13132.05,141,50,0,TRUE
905.55,50.31,6,1,0,TRUE
3848.89,213.83,12,7,2,TRUE
9362.4,520.13,19,6,5,TRUE
13174.23,731.9,21,8,2,TRUE
367939.9,20441.11,153,55,0,TRUE
